Setting solenoid 2 amount 1
Setting solenoid 1 amount 1
20327153 0 1 539.51 100.06 41.179688
20327419 0 1 539.51 100.06 41.179688
20329013 0 1 539.51 100.06 41.593750
20330488 0 1 539.51 100.06 41.804688
20330792 0 1 539.51 100.06 41.804688
20332221 0 1 539.51 100.06 41.617188
20333540 0 1 539.51 100.06 41.976563
20333801 0 1 539.51 100.06 41.976563
20334067 0 1 539.51 100.06 41.976563
20335390 0 1 539.51 100.06 42.585938
20335652 0 1 539.51 100.06 42.585938
20335919 0 1 539.51 100.06 42.585938
20337245 0 1 539.51 100.06 43.523438
20337506 0 1 539.51 100.06 43.523438
20337771 0 1 539.51 100.06 43.523438
20339090 0 1 539.51 100.06 44.070313
20339350 0 1 539.51 100.06 44.070313
20339615 0 1 539.51 100.06 44.070313
20340943 0 1 539.51 100.06 44.812500
20341204 0 1 539.51 100.06 44.812500
20341469 0 1 539.51 100.06 44.812500
20342793 0 1 539.51 100.06 45.882813
20343055 0 1 539.51 100.06 45.882813
20343320 0 1 539.51 100.06 45.882813
20344648 0 1 539.51 100.06 46.859375
20344910 0 1 539.51 100.06 46.859375
20345177 0 1 539.51 100.06 46.859375
20345484 0 1 539.51 100.06 46.859375
20346766 0 1 539.51 100.06 48.750000
20347026 0 1 539.51 100.06 48.750000
20348355 0 1 539.51 100.06 50.296875
20348617 0 1 539.51 100.06 50.296875
20348883 0 1 539.51 100.06 50.296875
20350212 0 1 539.51 100.06 51.132813
20350473 0 1 539.51 100.06 51.132813
20350738 0 1 539.51 100.06 51.132813
20352064 0 1 539.51 100.06 51.812500
20352324 0 1 539.51 100.06 51.812500
20352589 0 1 539.51 100.06 51.812500
20353911 0 1 539.51 100.06 52.617188
20354173 0 1 539.51 100.06 52.617188
20354439 0 1 539.51 100.06 52.617188
20355765 0 1 539.51 100.06 53.328125
20356026 0 1 539.51 100.06 53.328125
20356291 0 1 539.51 100.06 53.328125
20357619 0 1 539.51 100.06 54.281250
20357880 0 1 539.51 100.06 54.281250
20358145 0 1 539.51 100.06 54.281250
20359476 0 1 539.51 100.06 55.054688
20359738 0 1 539.51 100.06 55.054688
20360004 0 1 539.51 100.06 55.054688
20361328 0 1 539.51 100.06 55.742188
20361590 0 1 539.51 100.06 55.742188
20361856 0 1 539.51 100.06 55.742188
20362166 0 1 539.51 100.06 55.742188
20363447 0 1 539.51 100.06 56.203125
20363707 0 1 539.51 100.06 56.203125
20365037 0 1 539.51 100.06 56.898438
20365300 0 1 539.51 100.06 56.898438
20365566 0 1 539.51 100.06 56.898438
20365834 0 1 539.51 100.06 56.898438
20367156 0 1 539.51 100.06 57.250000
20367417 0 1 539.51 100.06 57.250000
20368741 0 1 539.51 100.06 57.843750
20369003 0 1 539.51 100.06 57.843750
20369268 0 1 539.51 100.06 57.843750
20370598 0 1 539.51 100.06 58.109375
20370861 0 1 539.51 100.06 58.109375
20371127 0 1 539.51 100.06 58.109375
20372455 0 1 539.51 100.06 58.304688
20372717 0 1 539.51 100.06 58.304688
20372982 0 1 539.51 100.06 58.304688
20374312 0 1 539.51 100.06 58.492188
20374575 0 1 539.51 100.06 58.492188
20374840 0 1 539.51 100.06 58.492188
20375145 0 1 539.51 100.06 58.492188
20376427 0 1 539.51 100.06 58.687500
20376689 0 1 539.51 100.06 58.687500
20378019 0 1 539.51 100.06 58.617188
20378280 0 1 539.51 100.06 58.617188
20378547 0 1 539.51 100.06 58.617188
20379876 0 1 539.51 100.06 58.585938
